year,edition,edition_id,host_city,host_country_noc,is_host,country,country_noc,continent,is_defunct_entity,era,gold,silver,bronze,total,rank_in_edition,medal_share_pct,gold_ratio,n_countries_in_edition,edition_data_complete
1896,1896 Summer Olympics,1,Athens,GRE,True,Greece,GRE,Europe,False,Founding Era (1896-1912),10,18,19,47,1,38.52,0.213,11,True
1896,1896 Summer Olympics,1,Athens,GRE,False,United States,USA,Americas,False,Founding Era (1896-1912),11,7,2,20,2,16.39,0.55,11,True
1896,1896 Summer Olympics,1,Athens,GRE,False,Germany,GER,Europe,False,Founding Era (1896-1912),6,5,2,13,3,10.66,0.462,11,True
1896,1896 Summer Olympics,1,Athens,GRE,False,France,FRA,Europe,False,Founding Era (1896-1912),5,4,2,11,4,9.02,0.455,11,True
1896,1896 Summer Olympics,1,Athens,GRE,False,Great Britain,GBR,Europe,False,Founding Era (1896-1912),2,3,2,7,5,5.74,0.286,11,True
1896,1896 Summer Olympics,1,Athens,GRE,False,Hungary,HUN,Europe,False,Founding Era (1896-1912),2,1,3,6,6,4.92,0.333,11,True
1896,1896 Summer Olympics,1,Athens,GRE,False,Denmark,DEN,Europe,False,Founding Era (1896-1912),1,2,3,6,6,4.92,0.167,11,True
1896,1896 Summer Olympics,1,Athens,GRE,False,Austria,AUT,Europe,False,Founding Era (1896-1912),2,1,2,5,8,4.1,0.4,11,True
1896,1896 Summer Olympics,1,Athens,GRE,False,Switzerland,SUI,Europe,False,Founding Era (1896-1912),1,2,0,3,9,2.46,0.333,11,True
1896,1896 Summer Olympics,1,Athens,GRE,False,Australia,AUS,Oceania,False,Founding Era (1896-1912),2,0,0,2,10,1.64,1.0,11,True
1896,1896 Summer Olympics,1,Athens,GRE,False,Mixed team,MIX,Mixed/Other,True,Founding Era (1896-1912),1,0,1,2,10,1.64,0.5,11,True
1900,1900 Summer Olympics,2,Paris,FRA,True,France,FRA,Europe,False,Founding Era (1896-1912),31,40,40,111,1,39.08,0.279,19,True
1900,1900 Summer Olympics,2,Paris,FRA,False,United States,USA,Americas,False,Founding Era (1896-1912),20,13,15,48,2,16.9,0.417,19,True
1900,1900 Summer Olympics,2,Paris,FRA,False,Great Britain,GBR,Europe,False,Founding Era (1896-1912),20,9,9,38,3,13.38,0.526,19,True
1900,1900 Summer Olympics,2,Paris,FRA,False,Belgium,BEL,Europe,False,Founding Era (1896-1912),6,7,5,18,4,6.34,0.333,19,True
1900,1900 Summer Olympics,2,Paris,FRA,False,Switzerland,SUI,Europe,False,Founding Era (1896-1912),6,3,1,10,5,3.52,0.6,19,True
1900,1900 Summer Olympics,2,Paris,FRA,False,Germany,GER,Europe,False,Founding Era (1896-1912),4,3,2,9,6,3.17,0.444,19,True
1900,1900 Summer Olympics,2,Paris,FRA,False,Denmark,DEN,Europe,False,Founding Era (1896-1912),1,3,2,6,7,2.11,0.167,19,True
1900,1900 Summer Olympics,2,Paris,FRA,False,Mixed team,MIX,Mixed/Other,True,Founding Era (1896-1912),1,2,3,6,7,2.11,0.167,19,True
1900,1900 Summer Olympics,2,Paris,FRA,False,Netherlands,NED,Europe,False,Founding Era (1896-1912),1,2,3,6,7,2.11,0.167,19,True
1900,1900 Summer Olympics,2,Paris,FRA,False,Austria,AUT,Europe,False,Founding Era (1896-1912),0,3,3,6,7,2.11,0.0,19,True
1900,1900 Summer Olympics,2,Paris,FRA,False,Italy,ITA,Europe,False,Founding Era (1896-1912),3,2,0,5,11,1.76,0.6,19,True
1900,1900 Summer Olympics,2,Paris,FRA,False,Hungary,HUN,Europe,False,Founding Era (1896-1912),1,2,2,5,11,1.76,0.2,19,True
1900,1900 Summer Olympics,2,Paris,FRA,False,Norway,NOR,Europe,False,Founding Era (1896-1912),0,2,3,5,11,1.76,0.0,19,True
1900,1900 Summer Olympics,2,Paris,FRA,False,Australia,AUS,Oceania,False,Founding Era (1896-1912),0,0,3,3,14,1.06,0.0,19,True
1900,1900 Summer Olympics,2,Paris,FRA,False,Cuba,CUB,Americas,False,Founding Era (1896-1912),1,1,0,2,15,0.7,0.5,19,True
1900,1900 Summer Olympics,2,Paris,FRA,False,India,IND,Asia,False,Founding Era (1896-1912),0,2,0,2,15,0.7,0.0,19,True
1900,1900 Summer Olympics,2,Paris,FRA,False,Bohemia,BOH,Europe,True,Founding Era (1896-1912),0,1,1,2,15,0.7,0.0,19,True
1900,1900 Summer Olympics,2,Paris,FRA,False,Spain,ESP,Europe,False,Founding Era (1896-1912),1,0,0,1,18,0.35,1.0,19,True
1900,1900 Summer Olympics,2,Paris,FRA,False,Sweden,SWE,Europe,False,Founding Era (1896-1912),0,0,1,1,18,0.35,0.0,19,True
1904,1904 Summer Olympics,3,St. Louis,USA,True,United States,USA,Americas,False,Founding Era (1896-1912),80,85,83,248,1,88.57,0.323,8,True
1904,1904 Summer Olympics,3,St. Louis,USA,False,Germany,GER,Europe,False,Founding Era (1896-1912),5,4,5,14,2,5.0,0.357,8,True
